from,to,relation ,year,Eindeutige Knoten
netflix,thth,4,0,netflix
thth,thth_2023,2,2023,thth
thth_2023,sadi,1,2023,thth_2023
thth_2023,maca,1,2023,pro7_sat1
thth_2023,stst,1,2023,tbatn
thth_2023,dedo,1,2023,tbatn_2024
thth_2023,onal,1,2023,tbatn_2023
thth_2023,fuak,1,2023,tbatn_2021
thth_2023,solo,1,2023,tbatn_2020
thth_2023,anst,1,2023,rtl
thth_2023,olnu,1,2023,ba
thth_2023,keni,1,2023,ba_2020
thth_2023,fafa,1,2023,ba_2021
thth_2023,lamu,1,2023,ba_2022
thth_2023,emhu,1,2023,ba_2023
thth_2023,tokl,1,2023,ba_2024
pro7_sat1,tbatn,4,0,dn
tbatn,tbatn_2024,2,2024,dn_2023
tbatn_2024,kiha,1,2024,dn_2024
tbatn_2024,savas,1,2024,eotb
tbatn_2024,shsc,1,2024,eotb_2020
tbatn_2024,babu,1,2024,eotb_2021
tbatn_2024,lino,1,2024,eotb_2022
tbatn_2024,nesc,1,2024,eotb_2023
tbatn_2024,vane,1,2024,eotb_2024
tbatn_2024,chok,1,2024,paramount_plus
tbatn_2024,cose,1,2024,germany_shore
tbatn_2024,joel,1,2024,gs_2021
tbatn_2024,sam,1,2024,gs_2022
tbatn_2024,kili,1,2024,gs_2023
tbatn_2024,pier,1,2024,ba_f
tbatn_2024,mike1,1,2024,ba_f_2020
tbatn_2024,krun,1,2024,ba_f_2021
tbatn_2024,danie,1,2024,ba_f_2022
tbatn,tbatn_2023,2,2023,ba_f_2023
tbatn_2023,semo,1,2023,ba_f_2024
tbatn_2023,nabe,1,2023,hadeb
tbatn_2023,juwo,1,2023,hadeb_2019
tbatn_2023,seli,1,2023,hadeb_2020
tbatn_2023,bren,1,2023,hadeb_2021
tbatn_2023,wado,1,2023,hadeb_2022
tbatn_2023,beve,1,2023,hadeb_2023
tbatn_2023,chbr,1,2023,bsf
tbatn_2023,stef,1,2023,bsf_2020
tbatn_2023,flor,1,2023,bsf_2021
tbatn_2023,samu,1,2023,bsf_2022
